LOG2_L1_size,LOG2_L2_size,aat
12.0,15.0,0.8017
12.0,16.0,0.7972
12.0,17.0,0.7988
12.0,18.0,0.8021
12.0,19.0,0.8095
12.0,20.0,0.8170
13.0,15.0,0.8063
13.0,16.0,0.8012
13.0,17.0,0.8015
13.0,18.0,0.8039
13.0,19.0,0.8091
13.0,20.0,0.8144
14.0,15.0,0.8287
14.0,16.0,0.8239
14.0,17.0,0.8226
14.0,18.0,0.8242
14.0,19.0,0.8277
14.0,20.0,0.8312
15.0,15.0,0.8647
15.0,16.0,0.8619
15.0,17.0,0.8601
15.0,18.0,0.8616
15.0,19.0,0.8648
15.0,20.0,0.8681
16.0,15.0,0.8979
16.0,16.0,0.8982
16.0,17.0,0.8996
16.0,18.0,0.9010
16.0,19.0,0.9042
16.0,20.0,0.9075
