LOG2_L1_size,LOG2_L2_size,aat,area
12.0,15.0,0.8017,0.2853
12.0,16.0,0.7972,0.3858
12.0,17.0,0.7988,0.7309
12.0,18.0,0.8021,1.2001
12.0,19.0,0.8095,2.6779
12.0,20.0,0.8170,5.0023
13.0,15.0,0.8063,0.3094
13.0,16.0,0.8012,0.4099
13.0,17.0,0.8015,0.7551
13.0,18.0,0.8039,1.2242
13.0,19.0,0.8091,2.7020
13.0,20.0,0.8144,5.0264
14.0,15.0,0.8287,0.3348
14.0,16.0,0.8239,0.4353
14.0,17.0,0.8226,0.7804
14.0,18.0,0.8242,1.2495
14.0,19.0,0.8277,2.7273
14.0,20.0,0.8312,5.0518
15.0,15.0,0.8647,0.4302
15.0,16.0,0.8619,0.5307
15.0,17.0,0.8601,0.8759
15.0,18.0,0.8616,1.3450
15.0,19.0,0.8648,2.8228
15.0,20.0,0.8681,5.1472
16.0,15.0,0.8979,0.5894
16.0,16.0,0.8982,0.6899
16.0,17.0,0.8996,1.0350
16.0,18.0,0.9010,1.5041
16.0,19.0,0.9042,2.9819
16.0,20.0,0.9075,5.3064
