LOG2_L1_size,LOG2_L2_size,edp
12.0,15.0,73885415.2666
12.0,16.0,72915709.3691
12.0,17.0,77664333.8306
12.0,18.0,84466485.2645
12.0,19.0,98574308.3825
12.0,20.0,121910884.5918
13.0,15.0,70402764.2051
13.0,16.0,68614176.5722
13.0,17.0,72008608.2330
13.0,18.0,77288668.3970
13.0,19.0,88194736.6782
13.0,20.0,106225909.7478
14.0,15.0,82350448.3403
14.0,16.0,79807700.9617
14.0,17.0,82104776.8710
14.0,18.0,86273932.5748
14.0,19.0,94851115.0912
14.0,20.0,109001892.1159
15.0,15.0,112868120.8621
15.0,16.0,106821781.7961
15.0,17.0,108745997.1852
15.0,18.0,112698871.5072
15.0,19.0,120825024.0918
15.0,20.0,134169778.3274
16.0,15.0,142456258.3135
16.0,16.0,141838871.5223
16.0,17.0,144658574.4532
16.0,18.0,148298906.9345
16.0,19.0,155792284.1586
16.0,20.0,168005508.9931
